"Details","Name","Stage","Country (ISO)","Contract Signed","Original currency (ISO)","Total finance (original currency)","USD Estimate","Investment Details - Internal Rate of Return - Latest - (Value)","Purpose and classifications - Social challenge - (Value)","Intervention model","Policy sector","Purpose and classifications - Primary SDG goal - (Value)","Purpose and classifications - Secondary SDG goals - (Value)","Purpose and classifications - Primary SDG target - (Value)","Purpose and classifications - Secondary SDG targets - (Value)","Purpose and classifications - (Source ID's)","Purpose and classifications - (Notes)","Beneficiaries - target population","Beneficiaries type","Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value)","Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value)","Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value)","Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value)","Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value)","Service and beneficiaries - (Source ID's)","Service and beneficiaries - (Notes)"
"View","""It's All About Me"" National Adoption Scheme SOF","Implementation","GB","","GBP","2,000,000","3126658.215","","","The essence of IAAM is to combine targeted family finding for harder to place children with specific support for parents adopting these children. The IAAM service is provide by six Voluntary Adoption Agencies (VAAs) operating across the country. Each Voluntary Adoption Agency (VAA) will be referred a child who has been seeking adoption on a spot-purchase basis by a local authority. The VAA will first task the South London and Maudsley Hospital with conducting a multidisciplinary assessment of the child and producing an authoritative report on the child's needs. For the child, the VAA will then provide a 24-hour helpline, buddying, and respite care whilst they attempt to find an adoptive family. Prospective parents are given training and support tailored to the needs of the child, as agreed by the commissioning local authority and the provider VAA.","Child and family welfare","","","","","source13,source5","","‘Harder to place’ children who would be likely to be aged 4+, in a sibling group, with a disability or from a BME background– or a combination of these – and would have been on the Adoption register for at least six months.","198","Individual","","","","","source3",""
"View","3SC Capitalise","Complete","GB","","GBP","400,000","631864.6278","","","The IF pilot projects aim to prevent young people from becoming NEET, or support those already NEET to re-engage with education, training and employment. Interventions display a wide diversity in terms of participant age range, in and out of school provision and the balance between one to one and group work. Some programmes are built around participation on a structured programme or course. Despite these differences, there are also commonalities between projects including: time spent on initial marketing, recruitment and engagement; an intense initial process of working with each participant to achieve a positive shift in ‘mind-set’; a more extended period of personal and skills development and the encouragement of mental resilience in dealing with challenges and difficulties faced; and an ongoing process of goal setting and progression facilitation. Uses a cognitive behaviour intervention and support to address poor literacy and academic achievement. This consists of specialist literacy teachers delivering support to pupils with dyslexia and basic skills issues, alongside a team of project workers who provide motivation and personal development coaching, and interventions to address behavioural and truancy problems.","Employment and training","","","","","source7,source2","","Young people (14 - 15 years old) at risk of not gaining a GCSE in English, with literacy and self- esteem issues","","","","700","","","source2",""
"View","A Better Education for Vulnerable Children and Children Placed in Care - Denmark","Implementation","DK","2022-01","DKK","18,400,000","2925278.2193959","","To support the learning of the most vulnerable and placed children through a long-term and holistic effort, so that they can to a greater extent be retained in and complete primary school and youth education.","The intervention is a comprehensive and long-term teaching and mentoring program intended to support vulnerable children and children in care to graduate from primary and secondary school, thus building a stronger foundation for a better life. The program lasts six years, and follows the participants at least until they finish primary school. The program consists of learning camps, a mentoring scheme based on the help of volunteers as well as building bridges from the program to the children's everyday life.","Education","4","","","","source1,source2","","Placed and vulnerable children in Aarhus Municipality","80","Individual","","","","","",""
"View","Academia de Codigo Bootcamps (Code Academy Bootcamp)","Complete","PT","2017-01","EUR","723,500","815305.5021","","According to the European Commission, Europe is facing a shortage of up to 900 000 skilled ICT workers, 15 000 of whom are needed in Portugal alone. On one hand there is an extremely high youth unemployment rate, whilst on the other hand there is an enormous need for coders in the Information Technology sector. The Academia de Código bootcamps intervention thus focuses on this mismatched demand and supply, allowing its students to radically change their professional path.","The intervention aims at increasing the employability of unemployed young people by helping them develop computer programming skills through an intensive training programme lasting 14 weeks (650+ hours). The project offered 9 bootcamps with 22 students each.","Employment and training","","","","","source4,source1","","Unemployed young people in Fundão, Portugal.","198","Individual","","174","Individual","","source1,source8",""
"View","Academia de Codigo Junior (Junior Code Academy)","Complete","PT","2014-09","EUR","125,000","138633.3473","","","This was a pilot intervention commissioned by Lisbon City Council aimed at improving primary education students educational attainments by teaching them computer coding. The programme consisted of weekly 2-hour programming classes, offered at primary schools and within school hours in the presence of the head teacher, for 56 weeks of training.","Education","","","","","source8,source1","","Students enrolled on year 3 of primary education cycle, from 3 public schools in Lisbon.","","","","50","","","source7",""
"View","Alameda County Justice Restoration Project","Implementation","US","","","","","","","The intervention supports young adults returning to their neighborhoods in Alameda County through the provider's Individualized Coaching Model. Clients are paired for 18 months with coaches with similar life experiences who will provide dedicated engagement and mentorship. Coaches coordinate with probation officers and trained professionals to streamline access to an array of services that is challenging for clients to navigate without support. The model is designed to address key contributing factors to recidivism, including chronic unemployment/poverty, substance abuse, criminogenic thinking, lack of positive peer relationships and role models, and other services and supports, such as subsidized housing, mental and physical health care, and education.","Criminal justice","","","","","source4,source1","","Young adults aged between 18 - 34 (with priority for those aged 18 - 24)  who are on felony probation or who have been  charged with certain felony crimes.","179","","","","","","source1",""
"View","Aluma SIB","Implementation","IL","2015-04","Israeli new shekels","10,548,100","2713803.01","","","The intervention seeks to reduce Computer Sciences student dropout rates in Haifa University and in Tel Aviv Yaffo Academic College, focusing on students coming from disadvantaged populations. Each student will receive: financial support, personal and tailored guidance, academic reinforcement (group studies, private tutoring, learning hubs, exams intensive preparation), and orientation with program mentors.","Education","","","","","source5,source2","","Participants must meet the following criteria: (1) must be studying Computer Science at Haifa University and in Tel Aviv Yaffo Academic College, (2) identified by the university as a student with a high risk of droping out, based on past achievements and socioeconomic background.","600","","","","","","source5",""
"View","Ambition","Complete","GB","2015-01","GBP","600,000","916666.6325","","Homelessness","Each young adult referred to Ambition has a dedicated link worker providing intensive, personalised support that begins by helping them find a stable place to live. Over the three years they are supported to sustain their tenancy and develop the skills and confidence to enter employment, education, training or volunteering. They also have somewhere to turn for help with wider life issues such as budgeting, health, offending, drug and alcohol addiction or relationships.","Homelessness","","","","","source10,source2","","Young people aged 18-24 not in employment, education, or training (NEET); homeless as defined in the homelessness legislation but not in priority need under that legislation and deemed a priority for local authority support but unable to be accommodated in a supported housing scheme.","","","","409","Individual","","source2",""
"View","Apprentis d'auteuil - Gironde (France)","Implementation","FR","2019-07","EUR","2,700,000","3025713.368","","","The intervention seeks to provide support to families who are living in precarious conditions and thus having difficulties educating their children, putting them at risk of being sent to foster care. The program uses a shelter ta accommodate the families during the intervention and employs a network of 7 volunteers who are tasked with parental guidance services, for anywhere between 3 and 12 months.","Child and family welfare","","","","","source1,source7","","Couples or single mothers experiencing social and family-related hardships, such living in unhealthy housing etc., which puts their children at risk of being sent to a foster care center.","68","Other","families","","","","source1",""
"View","Apprentis d'Auteuil - Loire Atlantique (France)","Implementation","FR","2019-01","EUR","2,500,000","2801586.452","","","The intervention seeks to provide support to families who are living in precarious conditions and thus having difficulties educating their children, putting them at risk of being sent to foster care. The intervention program uses a housing first approach and employs a network network of 7 volunteers who are tasked with providing supported housing to beneficiaries, together with parental guidance services, for anywhere between 4 and 9 months.","Child and family welfare","","","","","source7,source1","","Couples or single mothers experiencing social and family-related hardships, such living in unhealthy housing etc., which puts their children at risk of being sent to a foster care center.","136","","","","","","source1",""
"View","Aprender e Ensinar Matematica Com a Khan Academy (Centro)","Implementation","PT","2018-02","EUR","248,356","293153.9133","","School failure","To promote the use of digital educational resources to enhance the learning and teaching of mathematics.","Education","","","","","source1, source3","","Students","2,000","Individual","","","","","",""
"View","Aprender e Ensinar Matematica Com a Khan Academy (Norte)","Implementation","PT","2018-02","EUR","279,713","330167.0205","","School failure","To promote the use of digital educational resources to enhance the learning and teaching of mathematics","Education","","","","","source1","","Students","2,400","Individual","","","","","source3",""
